desc;und;quant;valor_unit;valor_total
"GLICOSE, 
FÓRMULA 
QUÍMICA: 
C18H32O16.XH2O, 
COMPOSIÇÃO 
QUÍMICA: 
MALTOTRIOSE 
HIDRATADA, 
ASPECTO 
FÍSICO:  PÓ,  MASSA  MOLAR:504,44  G/MOL, 
GRAU DE PUREZA: PUREZA MÍNIMA DE 95%, 
NÚMERO 
DE 
REGISTRO 
QUÍMICO: 
CAS 
207511-08-8,  CARACTERÍSTICAS  ADICIONAIS 
1:  PADRÃO  ANAL.  SORO  GLICOSADO  500  ML 
SISTEMA 
FECHADO. 
(COTA  RESERVADA 
PARA ME/EPP DO ITEM 90)";UND;1375;R$ 19,60;R$ 26.950,00
"GLICOSE, 
FÓRMULA 
QUÍMICA:C18H32O16.XH2O, 
COMPOSIÇÃO 
QUÍMICA:MALTOTRIOSE 
HIDRATADA, 
ASPECTO  FÍSICO:  PÓ,  MASSA  MOLAR:504,44 
G/MOL,  GRAU  DE  PUREZA:  PUREZA  MÍNIMA 
DE  95%,  NÚMERO  DE  REGISTRO  QUÍMICO: 
CAS 
207511-08-8, 
CARACTERÍSTICAS 
ADICIONAIS 
1: 
PADRÃO 
ANAL 
(ITEM 
EXCLUSIVO – ME/EPP)";UND;5500;R$ 0,96;R$ 5.280,00
"GLICOSE,  CONCENTRAÇÃO:  5%,  INDICAÇÃO: 
SOLUÇÃO 
INJETÁVEL, 
CARACTERÍSTICAS 
ADICIONAIS: 
SISTEMA 
FECHADO 
(AMPLA 
CONCORRÊNCIA)";AMP;11250;R$ 19,96;R$ 224.550,00
"GLICOSE,  CONCENTRAÇÃO:  5%,  INDICAÇÃO: 
SOLUÇÃO 
INJETÁVEL, 
CARACTERÍSTICAS 
ADICIONAIS: 
SISTEMA 
FECHADO 
(COTA 
RESERVADA PARA ME/EPP DO ITEM 132)";AMP;3750;R$ 19,96;R$ 74.850,00
"HALOPERIDOL, 
APRESENTAÇÃO: 
SAL 
DECANOATO,  CONCENTRAÇÃO:  50  MG/ML, 
TIPO 
USO: 
SOLUÇÃO 
INJETÁVEL 
(ITEM 
EXCLUSIVO – ME/EPP)";AMP;280;R$ 9,20;R$ 2.576,00
"HALOPERIDOL, 
DOSAGEM: 
5  MG 
(ITEM 
EXCLUSIVO – ME/EPP)";COM;50000;R$ 0,25;R$ 12.500,00
"HALOPERIDOL,  CONCENTRAÇÃO:  5  MG/ML, 
TIPO 
USO: 
SOLUÇÃO 
INJETÁVEL 
(ITEM 
EXCLUSIVO – ME/EPP)";AMP;280;R$ 2,09;R$ 585,20
"HEPARINA  SÓDICA,  DOSAGEM:  5.000UI/ML, 
INDICAÇÃO:  INJETÁVEL  (ITEM  EXCLUSIVO 
– ME/EPP)";AMP;900;R$ 10,03;R$ 9.027,00
"HIDROCLOROTIAZIDA,  DOSAGEM: 
25  MG 
(ITEM EXCLUSIVO – ME/EPP)";COM;100000;R$ 0,04;R$ 4.000,00
"HIDROCORTISONA,  PRINCÍPIO  ATIVO500MG, 
APRESENTAÇÃO 
INJETÁVEL 
(ITEM 
EXCLUSIVO – ME/EPP)";UND;2700;R$ 7,45;R$ 20.115,00
"HIDROCORTISONA, PRINCÍPIO ATIVO  100MG, 
APRESENTAÇÃO 
INJETÁVEL 
(ITEM 
EXCLUSIVO – ME/EPP)";UND;2900;R$ 5,83;R$ 16.907,00
"HIDRÓXIDO 
DE 
ALUMÍNIO, 
INDICAÇÃO: 
300MG - FRASCO 100 ML (ITEM EXCLUSIVO – 
ME/EPP)";FRA;5300;R$ 2,95;R$ 15.635,00
"HIDROXIZINA 
CLORIDRATO, 
CONCENTRAÇÃO: 
2 
MG,ML, 
FORMA 
FARMACEUTICA:  SOLUÇÃO  ORAL  -  FRASCO 
120 ML (ITEM EXCLUSIVO – ME/EPP)";FRA;1800;R$ 4,87;R$ 8.766,00
"IBUPROFENO,  DOSAGEM: 
600  MG 
(ITEM 
EXCLUSIVO – ME/EPP)";COM;22000;R$ 0,30;R$ 6.600,00
"IBUPROFENO,  DOSAGEM:  50  MG,ML,  FORMA 
FARMACÊUTICA: 
SUSPENSÃO 
ORAL 
- 
FRASCO 30 ML (ITEM EXCLUSIVO – ME/EPP)";FRA;9000;R$ 2,89;R$ 26.010,00
"IMUNOGLOBULINA 
HUMANA, 
CONCENTRAÇÃO: 
5G, 
FORMA";AMP;38;R$ 4.470,56;R$ 169.881,28
"IMUNOGLOBULINA 
HUMANA, 
CONCENTRAÇÃO: 
5G, 
FORMA 
FARMACEUTICA: 
INJETÁVEL 
(COTA 
RESERVADA PARA ME/EPP DO ITEM 135)";AMP;12;R$ 4.470,56;R$ 53.646,72
"IPRATRÓPIO 
BROMETO, 
DOSAGEM: 
0,25 
MG,ML,  USO:  SOLUÇÃO  PARA  INALAÇÃO  - 
FRASCO 20 ML (ITEM EXCLUSIVO – ME/EPP)";FRA;700;R$ 1,38;R$ 966,00
"LEVOFLOXACINO,  DOSAGEM:  250  MG  (ITEM 
EXCLUSIVO – ME/EPP)";AMP;900;R$ 26,72;R$ 24.048,00
"LIDOCAÍNA 
GEL 
HIDROSSOLÚVEL 
30 
G  
(ITEM EXCLUSIVO – ME/EPP)";BISNAGA;4500;R$ 3,57;R$ 16.065,00
"LIDOCAÍNA  CLORIDRATO,  DOSAGEM: 
5%, 
APRESENTAÇÃO:  POMADA  -  BISNAGA  30  G 
(ITEM EXCLUSIVO – ME/EPP)";BIS;1200;R$ 3,40;R$ 4.080,00
"LIDOCAÍNA,  ASPECTO 
FÍSICOPÓ  BRANCO 
CRISTALINO,  INODORO,  FÓRMULA  QUÍMICA 
C14H22N2O.HCL 
(CLORIDRATO), 
PESO 
MOLECULAR270,80 GMOL, GRAU DE PUREZA 
MÍNIMA  DE  99%,  NÚMERO  DE  REFERÊNCIA 
QUÍMICACAS  73-78-9 
(ITEM  EXCLUSIVO  – 
ME/EPP)";UND;900;R$ 8,05;R$ 7.245,00
"LOSARTANA  POTÁSSICA,  DOSAGEM:  50  MG 
(ITEM EXCLUSIVO – ME/EPP)";COM;500000;R$ 0,10;R$ 50.000,00
"LUVA 
PARA 
PROCEDIMENTO 
NÃO 
CIRÚRGICO\,  MATERIAL:  LÁTEX  NATURAL 
ÍNTEGRO 
E 
UNIFORME\, 
TAMANHO: 
PEQUENO\,  CARACTERÍSTICAS  ADICIONAIS: 
LUBRIFICADA  COM 
PÓ  BIOABSORVÍVEL\, 
DESCARTÁVEL\, APRESENTAÇÃO: ATÓXICA\, 
TIPO: 
AMBIDESTRA\, 
TIPO 
USO: 
DESCARTÁVEL\, 
MODELO: 
FORMATO 
ANATÔMICO\,  FINALIDADE:  RESISTENTE  À";CX;2250;R$ 19,16;R$ 43.110,00
"LUVA 
PARA 
PROCEDIMENTO 
NÃO 
CIRÚRGICO\,  MATERIAL:  LÁTEX  NATURAL 
ÍNTEGRO 
E 
UNIFORME\, 
TAMANHO: 
PEQUENO\,  CARACTERÍSTICAS  ADICIONAIS: 
LUBRIFICADA  COM 
PÓ  BIOABSORVÍVEL\, 
DESCARTÁVEL\, APRESENTAÇÃO: ATÓXICA\, 
TIPO: 
AMBIDESTRA\, 
TIPO 
USO: 
DESCARTÁVEL\, 
MODELO: 
FORMATO 
ANATÔMICO\,  FINALIDADE:  RESISTENTE  À 
TRAÇÃO  APRESENTAÇÃO:ATÓXICA\, 
TIPO: 
AMBIDESTRA\,  TIPO  USO:  DESCARTÁVEL\, 
MODELO: 
FORMATO 
ANATÔMICO\, 
FINALIDADE: 
RESISTENTE 
À 
TRAÇÃO 
- 
CAIXA 
COM 
100 
UNIDADES. 
(COTA 
RESERVADA PARA ME/EPP DO ITEM 241)";CX;2250;R$ 19,64;R$ 44.190,00
"LUVA 
PARA 
PROCEDIMENTO 
NÃO 
CIRÚRGICO\,  MATERIAL:  LÁTEX  NATURAL 
ÍNTEGRO  E  UNIFORME\,  TAMANHO:  MÉDIO\, 
CARACTERÍSTICAS 
ADICIONAIS: 
LUBRIFICADA  COM 
PÓ  BIOABSORVÍVEL\, 
DESCARTÁVEL\, APRESENTAÇÃO: ATÓXICA\, 
TIPO: 
AMBIDESTRA\, 
TIPO 
USO: 
DESCARTÁVEL\, 
MODELO: 
FORMATO 
ANATÔMICO\,  FINALIDADE:  RESISTENTE  À 
TRAÇÃO  APRESENTAÇÃO:  ATÓXICA\,  TIPO: 
AMBIDESTRA\,  TIPO  USO:  DESCARTÁVEL\, 
MODELO: 
FORMATO 
ANATÔMICO\, 
FINALIDADE: 
RESISTENTE 
À 
TRAÇÃO 
- 
CAIXA 
COM 
100 
UNIDADES 
(COTA 
RESERVADA PARA ME/EPP DO ITEM 239)";CX;2250;R$ 16,37;R$ 36.832,50
"MANITOL 
5%,  ASPECTO 
FÍSICO: 
PÓ  OU 
GRÂNULO  BRANCO,  CRISTALINO,  INODORO, 
FÓRMULA 
QUÍMICA: 
C6H14O6, 
PESO 
MOLECULAR: 
182,17 
G/MOL, 
TEOR 
DE 
PUREZA: 
PUREZA 
MÍNIMA 
DE 
99%, 
CARACTERÍSTICA  ADICIONAL: 
REAGENTE 
P.A.,  NÚMERO  DE  REFERÊNCIA  QUÍMICA: 
CAS 69-65-8 (ITEM EXCLUSIVO – ME/EPP)";AMP;900;R$ 12,57;R$ 11.313,00
"METFORMINA  CLORIDRATO,  DOSAGEM:  850 
MG (ITEM EXCLUSIVO – ME/EPP)";COM;270000;R$ 0,24;R$ 64.800,00
"METILDOPA, 
DOSAGEM: 
250  MG 
(ITEM 
EXCLUSIVO – ME/EPP)";COM;33000;R$ 0,63;R$ 20.790,00
"METILDOPA, 
DOSAGEM: 
500  MG 
(ITEM 
EXCLUSIVO – ME/EPP)";COM;26000;R$ 1,00;R$ 26.000,00
"METILERGOMETRINA 
MALEATO, 
DOSAGEM:0,2 MG/ML, INDICAÇÃO: SOLUÇÃO 
INJETÁVEL (ITEM EXCLUSIVO – ME/EPP)";AMP;2700;R$ 3,05;R$ 8.235,00
"METOCLOPAMIDA  5  MG  -  AMP.  2  ML  (ITEM 
EXCLUSIVO – ME/EPP)";UND;6300;R$ 1,15;R$ 7.245,00
"METOCLOPRAMIDA 
CLORIDRATO, 
DOSAGEM: 
10  MG 
(ITEM  EXCLUSIVO 
– 
ME/EPP)";COM;12000;R$ 0,11;R$ 1.320,00
"METOCLOPRAMIDA 
CLORIDRATO, 
DOSAGEM: 
4 
MG,ML, 
APRESENTAÇÃO: 
SOLUÇÃO  ORAL 
-  FRASCO  10  ML 
(ITEM 
EXCLUSIVO – ME/EPP)";FRA;1800;R$ 1,72;R$ 3.096,00
"METOPROLOL, 
PRINCÍPIO 
ATIVO: 
SAL 
SUCCINATO, 
DOSAGEM: 
50 
MG, 
APRESENTAÇÃO:  LIBERAÇÃO  CONTROLADA 
(ITEM EXCLUSIVO – ME/EPP)";COM;1800;R$ 0,72;R$ 1.296,00
"METRONIDAZOL, 
CONCENTRAÇAO: 
100 
MG,G, 
FORMA 
FARMACEUTICA: 
CREME 
VAGINAL, 
CARACTERÍSTICA 
ADICIONAL: 
COM  APLICADOR 
-  BISNAGA  50  G 
(COTA 
RESERVADA PARA ME/EPP DO ITEM 50)";BIS;2000;R$ 13,24;R$ 26.480,00
"METRONIDAZOL, 
CONCENTRAÇAO: 
100 
MG,G, 
FORMA 
FARMACEUTICA: 
CREME 
VAGINAL, 
CARACTERÍSTICA 
ADICIONAL: 
COM  APLICADOR  -  BISNAGA  50  G  (AMPLA 
CONCORRÊNCIA)";BIS;6000;R$ 13,24;R$ 79.440,00
"METRONIDAZOL,  DOSAGEM:  250  MG  (ITEM 
EXCLUSIVO – ME/EPP)";COM;27000;R$ 0,27;R$ 7.290,00
"METRONIDAZOL,  DOSAGEM:250  MG 
(ITEM 
EXCLUSIVO – ME/EPP)";AMP;1100;R$ 16,04;R$ 17.644,00
"MICONAZOL  NITRATO,  DOSAGEM:  20  MG,G, 
APRESENTAÇÃO:  GEL  ORAL  -  BISNAGA  28  G 
(ITEM EXCLUSIVO – ME/EPP)";BIS;4500;R$ 3,08;R$ 13.860,00
"MIDAZOLAM  5  MG  /ML  AMPOLAS  DE  3  ML 
(ITEM EXCLUSIVO – ME/EPP)";AMP;800;R$ 5,51;R$ 4.408,00
"MORFINA 
SULFATO 
10MG 
/  ML 
(ITEM 
EXCLUSIVO – ME/EPP)";AMP;1100;R$ 3,06;R$ 3.366,00
"NEOMICINA, 
COMPOSIÇÃO: 
ASSOCIADA 
COM BACITRACINA, CONCENTRAÇÃO: 5MG + 
250UI,G,  TIPO  MEDICAMENTO:  POMADA 
- 
BISNAGA 10 G (ITEM EXCLUSIVO – ME/EPP)";BIS;5300;R$ 2,71;R$ 14.363,00
"NIFEDIPINO, 
DOSAGEM: 
20 
MG 
(ITEM 
EXCLUSIVO – ME/EPP)";COM;9000;R$ 0,21;R$ 1.890,00
"NIMESULIDA, 
DOSAGEM: 
50 
MG,ML, 
APRESENTAÇÃO:  SOLUÇÃO  ORAL  -  GOTAS  - 
FRASCO 15 ML (ITEM EXCLUSIVO – ME/EPP)";FRA;3500;R$ 1,66;R$ 5.810,00
"NIMESULIDA,  DOSAGEM: 
100  MG 
(ITEM 
EXCLUSIVO – ME/EPP)";COM;27000;R$ 0,16;R$ 4.320,00
"NISTATINA, 
DOSAGEM: 
100.000 
UI,ML, 
APRESENTAÇÃO: 
SUSPENSÃO 
ORAL 
- 
FRASCO 50 ML (ITEM EXCLUSIVO – ME/EPP)";FRA;3500;R$ 7,30;R$ 25.550,00
"NISTATINA, 
DOSAGEM: 
25.000 
UI,G, 
APRESENTAÇÃO: 
CREME 
VAGINAL 
COM 
APLICADOR 
- 
BISNAGA 
60 
G 
(ITEM 
EXCLUSIVO – ME/EPP)";BIS;7000;R$ 5,36;R$ 37.520,00
"NOREPINEFRINA, 
ASPECTO 
FÍSICO:PÓ 
CRISTALINO, 
FÓRMULA 
QUÍMICA: 
C8H11NO3.HCL 
(DL-NOREPINEFRINA, 
SAL 
CLORIDRATO), 
PESO  MOLECULAR: 
205,64 
G/MOL,  PUREZA  MÍNIMA:  PUREZA  MÍNIMA 
DE 97%, NÚMERO DE REFERÊNCIA QUÍMICA: 
CAS 55-27-6 (ITEM EXCLUSIVO – ME/EPP)";AMP;1800;R$ 4,17;R$ 7.506,00
"ÓLEO  DE  GIRASSOL  DEMOPROTETOR  PARA 
CURATIVO 200ML (COTA RESERVADA PARA 
ME/EPP DO ITEM 251)";UND;2250;R$ 9,56;R$ 21.510,00
"ÓLEO  MINERAL 
100% 
PURO 
FR  C/100ML 
(ITEM EXCLUSIVO – ME/EPP)";FRA;1800;R$ 4,40;R$ 7.920,00
"OMEPRAZOL,  CONCENTRAÇÃO:  40  MG,  USO: 
INJETÁVEL 
- 
FRASCO 
AMPOLA 
(ITEM 
EXCLUSIVO – ME/EPP)";AMP;4500;R$ 16,64;R$ 74.880,00
"OMEPRAZOL,  CONCENTRAÇÃO:  40  MG,  USO: 
INJETÁVEL 
- 
FRASCO 
AMPOLA 
(ITEM 
EXCLUSIVO – ME/EPP)";AMP;4500;R$ 13,74;R$ 61.830,00
"OMEPRAZOL, CONCENTRAÇÃO: 20 MG (ITEM 
EXCLUSIVO – ME/EPP)";COM;36000;R$ 0,14;R$ 5.040,00
"ONDANSETRONA 
CLORIDRATO, 
CONCENTRAÇÃO: 
8 
MG/ML, 
FORMA 
FARMACÊUTICA: 
SOLUÇÃO 
INJETÁVEL 
(ITEM EXCLUSIVO – ME/EPP)";AMP;9000;R$ 8,86;R$ 79.740,00
"ONDANSETRONA CLORIDRATO, DOSAGEM: 4 
MG/ML, 
INDICAÇÃO: 
INJETÁVEL 
(ITEM 
EXCLUSIVO – ME/EPP)";AMP;8000;R$ 4,41;R$ 35.280,00
"OXITOCINA,  DOSAGEM5  UIML, 
INDICAÇÃO 
SOLUÇÃO  INJETÁVEL  (ITEM  EXCLUSIVO  – 
ME/EPP)";AMP;1800;R$ 6,24;R$ 11.232,00
"PARACETAMOL, 
APRESENTAÇÃO: 
ASSOCIADO 
COM 
CODEÍNA, 
DOSAGEM: 
500MG + 30MG (ITEM EXCLUSIVO – ME/EPP)";COM;18000;R$ 0,68;R$ 12.240,00
"PARACETAMOL, 
DOSAGEM 
COMPRIMIDO: 
500 MG (ITEM EXCLUSIVO – ME/EPP)";COM;80000;R$ 0,20;R$ 16.000,00
"PARACETAMOL,  DOSAGEM  SOLUÇÃO  ORAL: 
200 
MG,ML, 
APRESENTAÇÃO: 
SOLUÇÃO 
ORAL  -  FRASCO  15  ML  (ITEM  EXCLUSIVO  – 
ME/EPP)";FRA;5500;R$ 3,06;R$ 16.830,00
"PERMETRINA 
5% 
FR 
60ML 
(ITEM 
EXCLUSIVO – ME/EPP)";FRA;800;R$ 4,32;R$ 3.456,00
"PERÓXIDO 
DE 
HIDROGÊNIO 
(ÁGUA 
OXIGENADA), (ITEM EXCLUSIVO – ME/EPP)";LT;270;R$ 6,11;R$ 1.649,70
"PETIDINA CLORIDRATO, DOSAGEM50 MGML, 
APRESENTAÇÃO 
SOLUÇÃO 
INJETÁVEL 
(ITEM EXCLUSIVO – ME/EPP)";AMP;180;R$ 3,26;R$ 586,80
"POLIVITAMÍNICO 
FR 
240ML 
(ITEM 
EXCLUSIVO – ME/EPP)";FRA;2700;R$ 8,17;R$ 22.059,00
"PREDNISOLONA, 
COMPOSIÇÃO: 
FOSFATO 
SÓDICO,  CONCENTRAÇÃO: 3 MG,ML, FORMA 
FARMACEUTICA:  SOLUÇÃO  ORAL  -  FRASCO 
60 ML (ITEM EXCLUSIVO – ME/EPP)";FRA;1800;R$ 6,22;R$ 11.196,00
"PREDNISOLONA, 
COMPOSIÇÃO:  ACETATO, 
CONCENTRAÇÃO: 
10 
MG,ML, 
FORMA 
FARMACEUTICA:  SUSPENSÃO  OFTÁLMICA  - 
FRASCO 5 ML (ITEM EXCLUSIVO – ME/EPP)";UND;800;R$ 6,44;R$ 5.152,00
"PREDNISONA, 
DOSAGEM: 
20  MG 
(ITEM 
EXCLUSIVO – ME/EPP)";COM;3000;R$ 0,23;R$ 690,00
"PROPRANOLOL  CLORIDRATO,  DOSAGEM:  40 
MG (ITEM EXCLUSIVO – ME/EPP)";COM;54000;R$ 0,06;R$ 3.240,00
"RINGER, 
COMPOSIÇÃO 
ASSOCIADO 
COM 
LACTATO 
DE 
SÓDIO, 
FORMA 
FARMACÊUTICA 
SOLUÇÃO 
INJETÁVEL, 
CARACTERÍSTICA 
ADICIONAL 
SISTEMA 
FECHADO, 
500 
ML 
(AMPLA 
CONCORRÊNCIA)";UND;10500;R$ 26,71;R$ 280.455,00
"RINGER, 
COMPOSIÇÃO 
ASSOCIADO 
COM 
LACTATO 
DE 
SÓDIO, 
FORMA 
FARMACÊUTICA 
SOLUÇÃO 
INJETÁVEL, 
CARACTERÍSTICA 
ADICIONAL 
SISTEMA 
FECHADO, 500 ML (COTA RESERVADA PARA 
ME/EPP DO ITEM 99)";UND;3500;R$ 26,71;R$ 93.485,00
"RISPERIDONA 
1MG 
(ITEM  EXCLUSIVO 
– 
ME/EPP)";COM;27000;R$ 0,14;R$ 3.780,00
"RISPERIDONA 
2MG 
(ITEM  EXCLUSIVO 
– 
ME/EPP)";COM;36000;R$ 0,18;R$ 6.480,00
"SALBUTAMOL, 
DOSAGEM: 
0,4 
MG,ML, 
FORMA  FARMACÊUTICA:  XAROPE  -  FRASCO 
120 ML (ITEM EXCLUSIVO – ME/EPP)";FRA;2700;R$ 1,84;R$ 4.968,00
"SALBUTAMOL,  DOSAGEM: 
100MCG,  DOSE, 
FORMA  FARMACÊUTICA:  AEROSOL  ORAL  - 
FRASCO  200  DOSES 
(ITEM  EXCLUSIVO  – 
ME/EPP)";UND;2200;R$ 14,77;R$ 32.494,00
"SINVASTATINA,  DOSAGEM: 
20  MG 
(ITEM 
EXCLUSIVO – ME/EPP)";COM;70000;R$ 0,13;R$ 9.100,00
"SINVASTATINA,  DOSAGEM: 
40  MG 
(ITEM 
EXCLUSIVO – ME/EPP)";COM;80000;R$ 0,22;R$ 17.600,00
"SULFATO 
FERROSO, 
DOSAGEM 
FERRO: 
25MG,ML 
DE 
FERRO 
II, 
FORMA 
FARMACÊUTICA:  SOLUÇÃO  ORAL-GOTAS 
- 
FRASCO 
100  ML 
(ITEM 
EXCLUSIVO 
– 
ME/EPP)";FRA;4500;R$ 4,32;R$ 19.440,00
"SULFATO  DE  MAGNÉSIO,  CONCENTRAÇÃO: 
50%, 
USO: 
SOLUÇÃO 
INJETÁVEL 
(ITEM 
EXCLUSIVO – ME/EPP)";AMP;2700;R$ 9,99;R$ 26.973,00
"SUXAMETÔNIO  CLORETO,  DOSAGEM: 
100 
MG, 
INDICAÇÃO: 
INJETÁVEL 
(ITEM";AMP;900;R$ 19,89;R$ 17.901,00
"TENOXICAM, DOSAGEM: 20 MG, INDICAÇÃO: 
INJETÁVEL (ITEM EXCLUSIVO – ME/EPP)";AMP;1800;R$ 12,98;R$ 23.364,00
"TENOXICAM, DOSAGEM: 40 MG, INDICAÇÃO: 
INJETÁVEL (ITEM EXCLUSIVO – ME/EPP)";AMP;2700;R$ 19,44;R$ 52.488,00
"TIORIDAZINA 
CLORIDRATO, 
CONCENTRAÇÃO: 
100 
MG 
(ITEM 
EXCLUSIVO – ME/EPP)";COM;18000;R$ 2,31;R$ 41.580,00
"TIORIDAZINA 
CLORIDRATO, 
CONCENTRAÇÃO:  50  MG  (ITEM  EXCLUSIVO 
– ME/EPP)";COM;36000;R$ 1,31;R$ 47.160,00
"TRAMADOL 
100MG/ML- 
1 
ML 
(ITEM 
EXCLUSIVO – ME/EPP)";AMP;3300;R$ 4,57;R$ 15.081,00
"TRAMADOL 
CLORIDRATO, 
DOSAGEM:50 
MG/ML,  FORMA  FARMACÊUTICA:  SOLUÇÃO 
INJETÁVEL (ITEM EXCLUSIVO – ME/EPP)";AMP;3300;R$ 3,16;R$ 10.428,00
"TUBO  ENDOTRAQUIAL  COM  BALÃO  -  CUFF- 
N° 7,5 (ITEM EXCLUSIVO – ME/EPP)";UND;40;R$ 7,72;R$ 308,80
"TUBO  ENDOTRAQUIAL  COM  BALÃO  -  CUFF- 
N° 8,0 (ITEM EXCLUSIVO – ME/EPP)";UND;40;R$ 6,80;R$ 272,00
"TUBO  ENDOTRAQUIAL  COM  BALÃO  -  CUFF- 
N° 8,5 (ITEM EXCLUSIVO – ME/EPP)";UND;40;R$ 5,90;R$ 236,00
"TUBO  ENDOTRAQUIAL  COM  BALÃO  -  CUFF- 
N° 9,0 (ITEM EXCLUSIVO – ME/EPP)";UND;40;R$ 6,02;R$ 240,80
"TUBO  ENDOTRAQUIAL  COM  BALÃO  -  CUFF- 
N° 9,5 (ITEM EXCLUSIVO – ME/EPP)";UND;40;R$ 5,93;R$ 237,20
"TUBO  HOSPITALAR,  MATERIAL:  SILICONE, 
FORMATO: 
CIRCULAR, 
TIPO: 
LISO, 
ESPESSURA: 
6  MM, 
TAMANHO: 
Nº 
204, 
TRANSMITÂNCIA: 
TRANSPARENTE, 
DIÂMETRO 
EXTERNO: 
12 
MM, 
COMPRIMENTO:  15  M 
(COTA  RESERVADA 
PARA ME/EPP DO ITEM 167)";UND;135;R$ 213,03;R$ 28.759,05
"UMIDIFICADOR 
250  ML 
PARA  OXIGÊNIO 
(ITEM EXCLUSIVO – ME/EPP)";UND;40;R$ 21,73;R$ 869,20
"VALPROATO DE SÓDIO, CONCENTRAÇÃO: 50 
MG,ML,  FORMA  FARMACÊUTICA:  XAROPE  - 
FRASCO 
100  ML 
(ITEM 
EXCLUSIVO 
– 
ME/EPP)";FRA;1400;R$ 7,30;R$ 10.220,00
"VITAMINA 
- 
C 
500MG 
/ 
5ML 
(ITEM 
EXCLUSIVO – ME/EPP)";UND;5500;R$ 2,17;R$ 11.935,00
"VITAMINAS  DO  COMPLEXO  B,  COMPOSIÇÃO 
BÁSICA VITAMINAS B1, B2, B6, B12 E PP, USO 
SOLUÇÃO  INJETÁVEL  (ITEM  EXCLUSIVO  – 
ME/EPP)";AMP;9000;R$ 3,34;R$ 30.060,00
